location_id,ihme_loc_id,location_name,year_id,indicator,val
33,ARM,Armenia,1990,Ambient particulate matter pollution,23.377604587322644
33,ARM,Armenia,1990,Antenatal Care (4+ visits),93.00273620725477
33,ARM,Armenia,1990,Child stunting,21.386848673316045
33,ARM,Armenia,1990,Child underweight,4.700176797662757
33,ARM,Armenia,1990,Child wasting,4.305288388572454
33,ARM,Armenia,1990,Congenital birth defects,23.446384686900863
33,ARM,Armenia,1990,DTP3 coverage,80.72587829200731
33,ARM,Armenia,1990,Diarrheal diseases,5.708163831069926
33,ARM,Armenia,1990,Diphtheria,0.08390397234950288
33,ARM,Armenia,1990,Discontinued breastfeeding,71.86869801341146
33,ARM,Armenia,1990,Encephalitis,3.3169320478718185
33,ARM,Armenia,1990,HIV/AIDS,0.0032400219873361157
33,ARM,Armenia,1990,Household air pollution from solid fuels,32.784333153064345
33,ARM,Armenia,1990,Low birth weight for gestation,21.571806783651294
33,ARM,Armenia,1990,Lower respiratory infections,17.548693923789337
33,ARM,Armenia,1990,Malaria,0.0007770639950207298
33,ARM,Armenia,1990,Measles,0.0022032954475114273
33,ARM,Armenia,1990,Meningitis,0.40223369499730505
33,ARM,Armenia,1990,Neonatal preterm birth,25.77346848478752
33,ARM,Armenia,1990,Non-exclusive breastfeeding,42.73139847913379
33,ARM,Armenia,1990,Short gestation for birth weight,20.384486585454116
33,ARM,Armenia,1990,Socio-Demographic Index,54.88922625173724
33,ARM,Armenia,1990,Sudden infant death syndrome,2.0972508924538755
33,ARM,Armenia,1990,Tetanus,0.005112193069892538
33,ARM,Armenia,1990,Tuberculosis,0.31857217210332645
33,ARM,Armenia,1990,U5MR,11.181083103235588
33,ARM,Armenia,1990,Unsafe sanitation,38.424062630898774
33,ARM,Armenia,1990,Unsafe water source,22.644044791088724
33,ARM,Armenia,1990,Vitamin A deficiency,1.2948013241468967
33,ARM,Armenia,1990,Whooping cough,0.0023305376991005346
33,ARM,Armenia,1990,log_LDI,38.437215948073
33,ARM,Armenia,1995,Ambient particulate matter pollution,19.4780947660865
33,ARM,Armenia,1995,Antenatal Care (4+ visits),91.59850104346008
33,ARM,Armenia,1995,Child stunting,21.370074386505475
33,ARM,Armenia,1995,Child underweight,4.665452184492508
33,ARM,Armenia,1995,Child wasting,4.508799100717117
33,ARM,Armenia,1995,Congenital birth defects,20.203295073205393
33,ARM,Armenia,1995,DTP3 coverage,92.71597489053603
33,ARM,Armenia,1995,Diarrheal diseases,4.800859854790321
